Key,English,Translation,Notes
smutmods.boot_menu.language.none_available,No languages available.,Nay languages be available.,
smutmods.boot_menu.language.title,LANGUAGE,PIRATE MODE,
smutmods.boot_menu.language.tooltip,Language,Choose Yer Tongue,
smutmods.boot_menu.mode.desktop_experimental,DESKTOP [Experimental],LANDLUBBER MODE,
smutmods.boot_menu.mode.vr,VR,VRRRR,
smutmods.common.buildType.development,Development,Development,
smutmods.common.buildType.release,Release,Release,
smutmods.contentBrowser.actions.characterNotFound,Character not found.,Matey not found.,
smutmods.contentBrowser.actions.levelNotFound,Level not found.,Waters not found.,
smutmods.contentBrowser.actions.propDisabled,Prop is disabled.,Prop be disabled.,
smutmods.contentBrowser.actions.propNotFound,Prop not found.,Prop not found.,
smutmods.contentBrowser.actions.propPrefabMissing,Prop prefab missing.,Prop prefab be missin'.,
smutmods.contentBrowser.actions.scenariosNotImplemented,Scenarios not implemented yet.,Scenarios ain't ready yet.,
smutmods.contentBrowser.actions.spawn,Spawn,Spawn,
smutmods.contentBrowser.actions.travelTo,Travel To,Sail To,
smutmods.contentBrowser.characters.count,Characters: {0},Crew: {0},
smutmods.contentBrowser.characters.missingEntry,Missing character entry.,Missin' crew entry.,
smutmods.contentBrowser.common.disabledOnPlatform,Disabled on this platform.,Disabled on this vessel.,
smutmods.contentBrowser.common.missing,(missing),(lost at sea),
smutmods.contentBrowser.details.creator,Creator,Captain,
smutmods.contentBrowser.details.fallbackTitle,Details,Details,
smutmods.contentBrowser.details.modpack,Modpack,Modpack,
smutmods.contentBrowser.details.notReady,Detail panel not ready.,Details ain't ready yet.,
smutmods.contentBrowser.favorites.add,Add Favorite,Add Favorite,
smutmods.contentBrowser.favorites.characterSubtitle,Character • {0},Crew • {0},
smutmods.contentBrowser.favorites.count,Favorites: {0},Treasures: {0},
smutmods.contentBrowser.favorites.empty,No favorites yet.,No treasures yet.,
smutmods.contentBrowser.favorites.levelSubtitle,Level • {0},Waters • {0},
smutmods.contentBrowser.favorites.missingContent,Favorite refers to missing content.,Treasure points to lost cargo.,
smutmods.contentBrowser.favorites.modSubtitle,Mod • {0},Mod • {0},
smutmods.contentBrowser.favorites.propSubtitle,Prop • {0},Prop • {0},
smutmods.contentBrowser.favorites.remove,Remove Favorite,Abandon Favorite,
smutmods.contentBrowser.filters.mod,[Mod] {0},[Mod] {0},
smutmods.contentBrowser.filters.modpack,[ModPack] {0},[ModPack] {0},
smutmods.contentBrowser.filters.select,Select,Choose,
smutmods.contentBrowser.levels.count,Levels: {0},Waters: {0},
smutmods.contentBrowser.levels.missingEntry,Missing level entry.,Missin' waters entry.,
smutmods.contentBrowser.mods.count,Mods: {0},Mods: {0},
smutmods.contentBrowser.mods.noResults,No mods match the selected filter.,No mods fit yer chosen filter.,
smutmods.contentBrowser.mods.noneLoaded,No mods loaded.,No mods aboard.,
smutmods.contentBrowser.props.count,Props: {0},Props: {0},
smutmods.contentBrowser.props.missingEntry,Missing prop entry.,Missin' prop entry.,
smutmods.contentBrowser.scenarios.notImplemented,Scenarios are not implemented yet.,Scenarios ain't ready yet.,
smutmods.contentBrowser.selection.missingCharacter,(missing character),(lost crew),
smutmods.contentBrowser.selection.missingLevel,(missing level),(lost waters),
smutmods.contentBrowser.selection.missingMod,(missing mod),(lost mod),
smutmods.contentBrowser.selection.missingProp,(missing prop),(lost prop),
smutmods.contentBrowser.selection.none,(none),(none),
smutmods.contentBrowser.tabs.all,All,All,
smutmods.contentBrowser.tabs.characters,Characters,Crew,
smutmods.contentBrowser.tabs.favorites,Favorites,Treasures,
smutmods.contentBrowser.tabs.levels,Levels,Waters,
smutmods.contentBrowser.tabs.props,Props,Props,
smutmods.contentBrowser.tabs.scenarios,Scenarios,Voyages,
smutmods.contentBrowser.title,Content Browser,Cargo Manifest,
smutmods.contentBrowser.types.character,Character,Crewmate,
smutmods.contentBrowser.types.level,Level,Waters,
smutmods.contentBrowser.types.mod,Mod,Mod,
smutmods.contentBrowser.types.prop,Prop,Prop,
smutmods.info.controls.discoveryFailed,Could not discover control schemes:\n{0},Couldn't chart control schemes:\n{0},
smutmods.info.controls.error,(error),(blunder),
smutmods.info.controls.imageLoadFailed,(Image failed to load: {0}),(Picture failed t' load: {0}),
smutmods.info.controls.invalidManifest,Invalid manifest JSON:\n{0}\n\n{1},Invalid manifest JSON:\n{0}\n\n{1},
smutmods.info.controls.loadFailed,Could not load:\n{0}\n\n{1},Couldn't haul aboard:\n{0}\n\n{1},
smutmods.info.controls.loading,Loading...,Haulin' aboard...,
smutmods.info.controls.loadingScheme,Loading scheme: {0},Haulin' scheme: {0},
smutmods.info.controls.loadingSchemes,Loading schemes...,Haulin' schemes...,
smutmods.info.controls.navigation,Controls,Helm,
smutmods.info.controls.noDescription,(No description),(No tale told),
